Display Name,Barcode,Case
"BC_3001_Unisex-Tee_RM  (2XL, Baby-Blue)",884913285323,72
"BC_3001_Unisex-Tee_RM  (2XL, Black)",846503015697,72
"BC_3001_Unisex-Tee_RM  (2XL, Brown)",846503015741,72
"BC_3001_Unisex-Tee_RM  (2XL, Charity-Pink)",884913639683,72
"BC_3001_Unisex-Tee_RM  (2XL, Dark-Grey)",884913388789,72
"BC_3001_Unisex-Tee_RM  (2XL, Gold)",884913236523,72
"BC_3001_Unisex-Tee_RM  (2XL, Kelly)",846503015895,72
"BC_3001_Unisex-Tee_RM  (2XL, Maroon)",884913057098,72
"BC_3001_Unisex-Tee_RM  (2XL, Natural)",884913389267,72
"BC_3001_Unisex-Tee_RM  (2XL, Navy)",846503015994,72
"BC_3001_Unisex-Tee_RM  (2XL, Orange)",884913157040,72
"BC_3001_Unisex-Tee_RM  (2XL, Pink)",846503016045,72
"BC_3001_Unisex-Tee_RM  (2XL, Red)",884913111042,72
"BC_3001_Unisex-Tee_RM  (2XL, Silver)",884913057234,72
"BC_3001_Unisex-Tee_RM  (2XL, Soft-Cream)",884913111530,72
"BC_3001_Unisex-Tee_RM  (2XL, Team-Purple)",884913057326,72
"BC_3001_Unisex-Tee_RM  (2XL, True-Royal)",846503055013,72
"BC_3001_Unisex-Tee_RM  (2XL, Turquoise)",884913285330,72
"BC_3001_Unisex-Tee_RM  (2XL, White)",846503016144,72
"BC_3001_Unisex-Tee_RM  (2XL, Yellow)",884913157224,72
"BC_3001_Unisex-Tee_RM  (3XL, Aqua)",884913156753,60
"BC_3001_Unisex-Tee_RM  (3XL, Army)",884913403390,60
"BC_3001_Unisex-Tee_RM  (3XL, Ash)",884913234345,60
"BC_3001_Unisex-Tee_RM  (3XL, Asphalt)",884913111332,60
"BC_3001_Unisex-Tee_RM  (3XL, Baby-Blue)",884913285484,60
"BC_3001_Unisex-Tee_RM  (3XL, Black)",884913054554,60
"BC_3001_Unisex-Tee_RM  (3XL, Brown)",884913054561,60
"BC_3001_Unisex-Tee_RM  (3XL, Charity-Pink)",884913639690,60
"BC_3001_Unisex-Tee_RM  (3XL, Dark-Grey)",884913388802,60
"BC_3001_Unisex-Tee_RM  (3XL, Gold)",884913236530,60
"BC_3001_Unisex-Tee_RM  (3XL, Kelly)",884913056978,60
"BC_3001_Unisex-Tee_RM  (3XL, Maroon)",884913057104,60
"BC_3001_Unisex-Tee_RM  (3XL, Natural)",884913389281,60
"BC_3001_Unisex-Tee_RM  (3XL, Navy)",884913057128,60
"BC_3001_Unisex-Tee_RM  (3XL, Orange)",884913157057,60
"BC_3001_Unisex-Tee_RM  (3XL, Pink)",884913299238,60
"BC_3001_Unisex-Tee_RM  (3XL, Red)",884913111059,60
"BC_3001_Unisex-Tee_RM  (3XL, Silver)",884913057241,60
"BC_3001_Unisex-Tee_RM  (3XL, Soft-Cream)",884913111547,60
"BC_3001_Unisex-Tee_RM  (3XL, Team-Purple)",884913057333,60
"BC_3001_Unisex-Tee_RM  (3XL, True-Royal)",884913057357,60
"BC_3001_Unisex-Tee_RM  (3XL, Turquoise)",884913285491,60
"BC_3001_Unisex-Tee_RM  (3XL, White)",884913057371,60
"BC_3001_Unisex-Tee_RM  (3XL, Yellow)",884913157231,60
"BC_3005CVC_V-Neck-Tee_RM  (S, Athletic-Heather)",884913056381,-72
"BC_3005CVC_V-Neck-Tee_RM  (S, Dark-Grey-Heather)",884913233898,-72
"BC_3005CVC_V-Neck-Tee_RM  (M, Athletic-Heather)",884913056404,-72
"BC_3005CVC_V-Neck-Tee_RM  (M, Dark-Grey-Heather)",884913233904,-72
"BC_3005CVC_V-Neck-Tee_RM  (L, Athletic-Heather)",884913056428,-72
"BC_3005CVC_V-Neck-Tee_RM  (L, Dark-Grey-Heather)",884913233911,-72
"BC_3005CVC_V-Neck-Tee_RM  (XL, Athletic-Heather)",884913056442,-72
"BC_3005CVC_V-Neck-Tee_RM  (XL, Dark-Grey-Heather)",884913233928,-72
"BC_3005CVC_V-Neck-Tee_RM  (2XL, Athletic-Heather)",884913056466,-72
"BC_3005CVC_V-Neck-Tee_RM  (2XL, Dark-Grey-Heather)",884913233935,-72
"BC_3005_V-Neck-Tee_RM  (S, Asphalt)",884913174757,-72
"BC_3005_V-Neck-Tee_RM  (S, Black)",846503029939,-72
"BC_3005_V-Neck-Tee_RM  (S, Navy)",846503055174,-72
"BC_3005_V-Neck-Tee_RM  (S, Red)",884913235656,-72
"BC_3005_V-Neck-Tee_RM  (S, True-Royal)",884913111707,-72
"BC_3005_V-Neck-Tee_RM  (S, White)",846503029885,-72
"BC_3005_V-Neck-Tee_RM  (M, Asphalt)",884913174764,-72
"BC_3005_V-Neck-Tee_RM  (M, Black)",846503029946,-72
"BC_3005_V-Neck-Tee_RM  (M, Navy)",846503055181,-72
"BC_3005_V-Neck-Tee_RM  (M, Red)",884913235663,-72
"BC_3005_V-Neck-Tee_RM  (M, True-Royal)",884913111714,-72
"BC_3005_V-Neck-Tee_RM  (M, White)",846503029892,-72
"BC_3005_V-Neck-Tee_RM  (L, Asphalt)",884913174771,-72
"BC_3005_V-Neck-Tee_RM  (L, Black)",846503029953,-72
"BC_3005_V-Neck-Tee_RM  (L, Navy)",846503055198,-72
"BC_3005_V-Neck-Tee_RM  (L, Red)",884913235670,-72
"BC_3005_V-Neck-Tee_RM  (L, True-Royal)",884913111721,-72
"BC_3005_V-Neck-Tee_RM  (L, White)",846503029908,-72
"BC_3005_V-Neck-Tee_RM  (XL, Asphalt)",884913174788,-72
"BC_3005_V-Neck-Tee_RM  (XL, Black)",846503029960,-72
"BC_3005_V-Neck-Tee_RM  (XL, Navy)",846503055204,-72
"BC_3005_V-Neck-Tee_RM  (XL, Red)",884913235687,-72
"BC_3005_V-Neck-Tee_RM  (XL, True-Royal)",884913111738,-72
"BC_3005_V-Neck-Tee_RM  (XL, White)",846503029915,-72
"BC_3005_V-Neck-Tee_RM  (2XL, Asphalt)",884913174795,-72
"BC_3005_V-Neck-Tee_RM  (2XL, Black)",846503029977,-72
"BC_3005_V-Neck-Tee_RM  (2XL, Navy)",846503055211,-72
"BC_3005_V-Neck-Tee_RM  (2XL, Red)",884913235694,-72
"BC_3005_V-Neck-Tee_RM  (2XL, True-Royal)",884913111745,-72
"BC_3005_V-Neck-Tee_RM  (2XL, White)",846503029922,-72
"BC_3006_Long-T-Shirt_RM  (S, Black)",884913470033,
"BC_3006_Long-T-Shirt_RM  (S, Dark-Grey-Heather)",884913470088,
"BC_3006_Long-T-Shirt_RM  (S, White)",884913469983,
"BC_3006_Long-T-Shirt_RM  (M, Black)",884913470040,
"BC_3006_Long-T-Shirt_RM  (M, Dark-Grey-Heather)",884913470095,
"BC_3006_Long-T-Shirt_RM  (M, White)",884913469990,
"BC_3006_Long-T-Shirt_RM  (L, Black)",884913470057,
"BC_3006_Long-T-Shirt_RM  (L, Dark-Grey-Heather)",884913470101,
"BC_3006_Long-T-Shirt_RM  (L, White)",884913470002,
"BC_3006_Long-T-Shirt_RM  (XL, Black)",884913470064,
"BC_3006_Long-T-Shirt_RM  (XL, Dark-Grey-Heather)",884913470118,
"BC_3006_Long-T-Shirt_RM  (XL, White)",884913470019,
"BC_3006_Long-T-Shirt_RM  (2XL, Black)",884913470071,
"BC_3006_Long-T-Shirt_RM  (2XL, Dark-Grey-Heather)",884913470125,
"BC_3006_Long-T-Shirt_RM  (2XL, White)",884913470026,
"BC_3200_Baseball-Tee-3/4_RM  (S, Black/White)",884913388086,72
"BC_3200_Baseball-Tee-3/4_RM  (S, White/Asphalt)",884913288256,72
"BC_3200_Baseball-Tee-3/4_RM  (S, White/Black)",884913288270,72
"BC_3200_Baseball-Tee-3/4_RM  (S, White/Kelly)",884913390041,72
"BC_3200_Baseball-Tee-3/4_RM  (S, White/Navy)",884913288034,72
"BC_3200_Baseball-Tee-3/4_RM  (S, White/Red)",884913288249,72
"BC_3200_Baseball-Tee-3/4_RM  (S, White/True-Royal)",884913288287,72
"BC_3200_Baseball-Tee-3/4_RM  (M, Black/White)",884913388093,72
"BC_3200_Baseball-Tee-3/4_RM  (M, White/Asphalt)",884913284807,72
"BC_3200_Baseball-Tee-3/4_RM  (M, White/Black)",884913284821,72
"BC_3200_Baseball-Tee-3/4_RM  (M, White/Kelly)",884913390058,72
"BC_3200_Baseball-Tee-3/4_RM  (M, White/Navy)",884913288317,72
"BC_3200_Baseball-Tee-3/4_RM  (M, White/Red)",884913284791,72
"BC_3200_Baseball-Tee-3/4_RM  (M, White/True-Royal)",884913284838,72
"BC_3200_Baseball-Tee-3/4_RM  (L, Black/White)",884913389946,72
"BC_3200_Baseball-Tee-3/4_RM  (L, White/Asphalt)",884913284890,72
"BC_3200_Baseball-Tee-3/4_RM  (L, White/Black)",884913284913,72
"BC_3200_Baseball-Tee-3/4_RM  (L, White/Kelly)",884913390065,72
"BC_3200_Baseball-Tee-3/4_RM  (L, White/Navy)",884913284869,72
"BC_3200_Baseball-Tee-3/4_RM  (L, White/Red)",884913284883,72
"BC_3200_Baseball-Tee-3/4_RM  (L, White/True-Royal)",884913284920,72
"BC_3200_Baseball-Tee-3/4_RM  (XL, Black/White)",884913389953,72
"BC_3200_Baseball-Tee-3/4_RM  (XL, White/Asphalt)",884913286764,72
"BC_3200_Baseball-Tee-3/4_RM  (XL, White/Black)",884913286788,72
"BC_3200_Baseball-Tee-3/4_RM  (XL, White/Kelly)",884913390072,72
"BC_3200_Baseball-Tee-3/4_RM  (XL, White/Navy)",884913286733,72
"BC_3200_Baseball-Tee-3/4_RM  (XL, White/Red)",884913286757,72
"BC_3200_Baseball-Tee-3/4_RM  (XL, White/True-Royal)",884913286795,72
"BC_3200_Baseball-Tee-3/4_RM  (2XL, Black/White)",884913389960,72
"BC_3200_Baseball-Tee-3/4_RM  (2XL, White/Asphalt)",884913288102,72
"BC_3200_Baseball-Tee-3/4_RM  (2XL, White/Black)",884913288126,72
"BC_3200_Baseball-Tee-3/4_RM  (2XL, White/Kelly)",884913390089,72
